,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new
RATNAGIRI (IN RTC),NA,18000,NA,NA,NA,19800,NA,NA,NA,NA,NA,20700,NA,NA,NA,NA,NA,21600,NA,NA,NA,22500,NA,NA,NA,NA,NA,23400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30600,NA,NA
ROHA (IN RHA),NA,7200,NA,NA,NA,8100,NA,NA,NA,7500,NA,8650,NA,NA,NA,8000,NA,9000,NA,NA,NA,9900,NA,NA,NA,9000,NA,10800,NA,NA,NA,9750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,11500,NA,NA,NA,NA,NA,NA,NA,NA,NA,27000,NA,NA
SANGLI (IN SAG),NA,23400,NA,NA,NA,24300,NA,NA,NA,7500,NA,25200,NA,12500,7125,8500,NA,26100,NA,13500,NA,27000,NA,14500,9250,10500,NA,27900,NA,15500,11900,12750,NA,NA,NA,17000,NA,NA,NA,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,25000,14500,21850,NA,NA,NA,NA,NA,NA,NA,NA,NA,25400,NA,NA
SATARA (IN STA),NA,23400,NA,NA,NA,24300,NA,NA,NA,6000,NA,25200,NA,8000,5350,6500,NA,26100,NA,9000,NA,27000,NA,10000,7500,7750,NA,27900,NA,11000,8900,9000,NA,NA,NA,13000,NA,NA,NA,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,20000,13000,14500,NA,NA,NA,NA,NA,NA,NA,NA,NA,24300,NA,NA
ICHALKARANJI,NA,23400,NA,NA,NA,24300,NA,NA,NA,7500,NA,25200,NA,12500,7125,8500,NA,26100,NA,13500,NA,27000,NA,14500,9250,10500,NA,27900,NA,15500,11900,12750,NA,NA,NA,17000,NA,NA,NA,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,25000,14500,21850,NA,NA,NA,NA,NA,NA,NA,NA,NA,40500,NA,NA
SHIROLI,NA,11260,NA,NA,NA,11700,NA,NA,NA,7500,NA,12600,NA,12500,7125,8500,NA,13500,NA,13500,NA,14400,NA,14500,9250,10500,NA,15300,NA,15500,11900,12750,NA,NA,NA,17000,NA,NA,NA,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,25000,14500,21850,NA,NA,NA,NA,NA,NA,NA,NA,NA,30600,NA,NA
WAI,NA,23400,NA,NA,NA,24300,NA,NA,NA,6000,NA,25200,NA,8000,5750,6750,NA,26100,NA,9000,NA,27000,NA,10000,8000,8250,NA,27900,NA,11000,9500,9750,NA,NA,NA,13000,NA,NA,NA,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,20000,14500,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,24300,NA,NA
PHALTAN,NA,23400,NA,NA,NA,24300,NA,NA,8500,8500,NA,25200,NA,NA,9500,10500,NA,26100,NA,NA,NA,27000,NA,NA,10000,12000,NA,27900,NA,NA,11500,13000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,15000,16250,NA,NA,NA,NA,NA,NA,NA,NA,NA,24300,NA,NA
HADAPSAR,NA,9900,NA,6000,NA,10800,NA,6500,NA,4500,NA,11700,NA,7000,6000,6000,NA,12600,NA,7500,NA,13500,NA,8000,7000,7250,NA,14400,NA,8500,7500,8000,NA,NA,NA,9000,NA,NA,NA,13000,15300,15300,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,13000,10500,11000,NA,NA,NA,NA,NA,20700,NA,NA,NA,20700,NA,NA
SHAHAPUR (IN SHA),NA,11260,NA,5000,NA,11700,NA,5500,NA,NA,NA,12600,NA,6500,NA,NA,NA,13500,NA,7500,NA,14400,NA,8500,NA,NA,NA,15300,NA,9500,NA,NA,NA,NA,NA,11000,NA,NA,NA,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20700,NA,NA
SHIRUR (IN SHU),NA,11260,NA,9000,NA,11700,NA,9500,NA,NA,NA,12600,NA,10000,NA,NA,NA,13500,NA,10500,NA,14400,NA,11000,NA,NA,NA,15300,NA,12000,NA,NA,NA,NA,NA,13000,NA,NA,NA,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27000,NA,NA
SINDHUDURG (IN SIN),NA,20700,NA,NA,NA,21600,NA,NA,NA,NA,NA,22500,NA,NA,NA,NA,NA,23400,NA,NA,NA,26100,NA,NA,NA,NA,NA,27900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30600,NA,NA
SINNAR (IN NKI),NA,9900,NA,6000,NA,10800,NA,6500,NA,4250,NA,11700,NA,7500,4750,5000,NA,12600,NA,8500,NA,13500,NA,9500,8200,9000,NA,14400,NA,10500,8900,9750,NA,NA,NA,12000,NA,NA,NA,17000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,17000,14500,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,20700,NA,NA
SOLAPUR (IN SOL),NA,15300,NA,NA,NA,16200,NA,NA,NA,NA,NA,17100,NA,NA,NA,NA,NA,18000,NA,NA,NA,18900,NA,NA,NA,NA,NA,19800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40500,NA,NA
TALEGON (IN TLG),NA,9900,NA,5000,NA,10800,NA,5500,NA,3500,NA,11700,NA,6500,3800,4250,NA,12600,NA,7500,NA,13500,NA,8500,6050,6250,NA,14400,NA,9500,6300,6750,NA,NA,NA,10500,NA,NA,NA,11500,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,22000,NA,NA,NA,11500,7500,8500,NA,NA,NA,NA,NA,NA,NA,25000,NA,20700,NA,20000
ALANDI,NA,9000,NA,5000,NA,9900,NA,5500,NA,3500,NA,10800,NA,6500,3800,4250,NA,11700,NA,7500,NA,12600,NA,8500,6050,6250,NA,13500,NA,9500,6300,6750,NA,NA,NA,10500,NA,NA,NA,11500,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,22000,NA,NA,NA,11500,7500,8500,NA,NA,NA,NA,NA,NA,NA,25000,NA,NA,NA,20000
THANE (IN THN),NA,8100,NA,6000,NA,9000,NA,6500,2750,3000,NA,9900,NA,7500,3000,4000,NA,10800,NA,8500,NA,11700,NA,9500,3500,5175,NA,12600,NA,10500,5500,6500,NA,NA,NA,11500,NA,NA,NA,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,14000,9000,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA,15300,NA,NA
ULWA (IN ULW),NA,4500,NA,5500,NA,5400,NA,6000,NA,NA,NA,6300,NA,6500,NA,NA,NA,7200,NA,7500,NA,7650,NA,8500,NA,NA,NA,8100,NA,9500,NA,NA,NA,NA,NA,10500,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
UMBERGAON (IN UMB),NA,8100,NA,NA,NA,9000,NA,NA,NA,8250,NA,9900,NA,NA,NA,10250,NA,10800,NA,NA,NA,11700,NA,NA,NA,13000,NA,12600,NA,NA,NA,16500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,18500,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
