,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad
75) KAKTI,18000,NA,18900,NA,NA,19800,NA,13250,20700,NA,21600,NA,13750,22500,NA,16750,NA,NA,NA,NA,24300,NA,30600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41400,NA
76) SHINOLI,NA,NA,NA,NA,NA,NA,NA,13250,NA,NA,NA,NA,13750,NA,NA,16750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77) KUNDAIM,12600,NA,14400,NA,7500,15300,19500,9000,17100,20500,18900,21500,13250,20700,22500,17000,NA,25000,NA,35000,30600,NA,36000,NA,NA,NA,NA,35000,24000,33300,NA,36900,NA,45000,NA
78) MAPUSA,12600,NA,14400,NA,7500,15300,19500,9000,17100,20500,18900,21500,13250,20700,22500,17000,NA,25000,NA,35000,30600,NA,36000,NA,NA,NA,NA,35000,24000,33300,NA,36900,NA,45000,NA
79) BICHOLIM,12600,NA,14400,NA,7500,15300,NA,9000,17100,NA,18900,NA,13250,20700,NA,17000,NA,NA,NA,NA,30600,NA,36000,NA,NA,NA,NA,NA,24000,33300,NA,36900,NA,45000,NA
80) VAPI ,10800,NA,11700,NA,8000,12600,9000,10250,13500,10000,14400,11000,12500,15300,13000,16000,NA,15000,NA,18000,20700,NA,24300,NA,NA,NA,NA,18000,18000,18000,NA,18900,NA,18900,NA
81) DAMAN ,10800,NA,11700,NA,8000,12600,9000,10250,13500,10000,14400,11000,12500,15300,13000,16000,NA,15000,NA,18000,20700,NA,24300,NA,NA,NA,NA,18000,18000,18000,NA,18900,NA,18900,NA
82) UMBERGAON ,10800,NA,11700,NA,8000,12600,NA,10250,13500,NA,14400,NA,12500,15300,NA,16000,NA,NA,NA,NA,20700,NA,24300,NA,NA,NA,NA,NA,18000,18000,NA,18900,NA,18900,NA
83) VALSAD ,10800,NA,11700,NA,8000,12600,9000,10250,13500,10000,14400,11000,12500,15300,13000,16000,NA,15000,NA,18000,20700,NA,24300,NA,NA,NA,NA,18000,18000,18000,NA,18900,NA,18900,NA
84) VADODARA ,12600,NA,14440,NA,9500,15300,15000,12500,18900,17000,20700,19000,16500,23000,21000,19000,NA,23000,NA,24000,30000,NA,36000,NA,NA,NA,NA,24000,24000,26000,NA,30600,32000,36000,35000
85) MAKARPUR,12600,NA,14440,NA,9500,15300,15000,12500,18900,17000,20700,19000,16500,23000,21000,19000,NA,23000,NA,24000,30000,NA,36000,NA,NA,NA,NA,24000,24000,26000,NA,30600,32000,36000,35000
86) MANJUSAR,12600,NA,14440,NA,9500,15300,NA,12500,18900,NA,20700,NA,16500,23000,NA,19000,NA,NA,NA,NA,30000,NA,36000,NA,NA,NA,NA,NA,24000,26000,NA,30600,NA,36000,NA
87) ANKLESHWAR ,11700,NA,13500,NA,8500,14400,NA,12500,16200,NA,17100,NA,16500,18000,NA,19000,NA,NA,NA,NA,25400,NA,30600,NA,NA,NA,NA,NA,24000,22500,NA,24300,NA,27000,NA
88) HALOL,12600,NA,14440,NA,9500,15300,17000,12500,18900,19000,20700,21000,16500,23000,23000,19750,NA,25000,NA,30000,30000,NA,36000,NA,NA,NA,NA,30000,25000,26000,NA,30600,NA,36000,NA
89) WAGHODIA,12600,NA,14440,NA,9500,15300,15000,12500,18900,17000,20700,19000,16500,23000,21000,19750,NA,23000,NA,24000,30000,NA,36000,NA,NA,NA,NA,24000,25000,26000,NA,30600,32000,36000,35000
90) PADRA,12600,NA,14440,NA,9500,15300,NA,12500,18900,NA,20700,NA,16500,23000,NA,19750,NA,NA,NA,NA,30000,NA,36000,NA,NA,NA,NA,NA,25000,26000,NA,30600,NA,36000,NA
91) VATVA,12600,NA,13500,NA,16250,14400,17000,17500,15300,19000,16200,21000,18000,18500,23000,24000,NA,25000,NA,30000,30600,NA,40500,NA,NA,NA,NA,30000,35000,27900,NA,33300,NA,43200,NA
92) ASLALI,12600,NA,13500,NA,14000,14400,17000,16250,15300,19000,16200,21000,17500,18500,23000,22500,NA,25000,NA,30000,30600,NA,40500,NA,NA,NA,NA,30000,34000,27900,NA,33300,NA,43200,NA
