,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new
RATNAGIRI (IN RTC),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROHA (IN RHA),NA,NA,NA,NA,NA,NA,NA,NA,NA,7500,NA,NA,5000,NA,NA,8000,NA,NA,NA,NA,NA,NA,6700,NA,NA,9000,NA,NA,9500,NA,NA,9750,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SANGLI (IN SAG),NA,NA,NA,NA,NA,NA,NA,NA,NA,7500,NA,NA,9500,12500,7125,8750,NA,NA,NA,13500,NA,NA,11000,14500,9250,11250,NA,NA,12000,15500,11900,12500,NA,NA,13500,17000,NA,NA,NA,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19500,25000,14500,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SATARA (IN STA),NA,NA,NA,NA,NA,NA,NA,NA,NA,6500,NA,NA,6000,8000,5350,8000,NA,NA,NA,9000,NA,NA,7100,10000,7500,8500,NA,NA,7900,11000,8900,9500,NA,NA,8500,13000,NA,NA,NA,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16000,20000,13000,16250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICHALKARANJI,NA,NA,NA,NA,NA,NA,NA,NA,NA,7500,NA,NA,9500,12500,7125,8750,NA,NA,NA,13500,NA,NA,11000,14500,9250,11250,NA,NA,12000,15500,11900,12500,NA,NA,13500,17000,NA,NA,NA,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19500,25000,14500,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHIROLI,NA,NA,NA,NA,NA,NA,NA,NA,NA,7500,NA,NA,NA,12500,7125,8750,NA,NA,NA,13500,NA,NA,NA,14500,9250,11250,NA,NA,NA,15500,11900,12500,NA,NA,NA,17000,NA,NA,NA,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,14500,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAI,NA,NA,NA,NA,NA,NA,NA,NA,NA,6250,NA,NA,NA,8000,5750,7250,NA,NA,NA,9000,NA,NA,NA,10000,8000,8500,NA,NA,NA,11000,9500,9500,NA,NA,NA,13000,NA,NA,NA,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,14500,17000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHALTAN,NA,11250,NA,NA,NA,11700,NA,NA,8500,8500,NA,12000,NA,NA,9500,9750,NA,12500,NA,NA,NA,13000,NA,NA,10000,11500,NA,13500,NA,NA,11500,13250,NA,14400,NA,NA,NA,15300,NA,NA,NA,15300,NA,NA,NA,20700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,15650,NA,NA,NA,NA,NA,NA,NA,NA,NA,24300,NA,NA
HADAPSAR,NA,10800,NA,6000,NA,11700,NA,6500,NA,6750,NA,12600,NA,7000,6000,6000,NA,13500,NA,7500,NA,14400,NA,8000,7000,7250,NA,15300,NA,8500,7500,8500,NA,17100,NA,9000,NA,18000,NA,13000,NA,18900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13000,10500,10500,NA,15300,NA,NA,NA,NA,NA,NA,NA,20700,NA,NA
SHAHAPUR (IN SHA),NA,NA,NA,5000,NA,NA,NA,5500,NA,NA,NA,NA,7500,6500,NA,NA,NA,NA,NA,7500,NA,NA,7500,8500,NA,NA,NA,NA,9000,9500,NA,NA,NA,NA,9000,11000,NA,NA,NA,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12500,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA
