,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad
70) BOMMASANDRA ,41400,NA,42300,NA,21850,43200,NA,23000,44100,NA,45000,NA,28750,45900,NA,33500,NA,NA,NA,NA,54000,NA,66600,NA,NA,NA,NA,NA,46000,60000,NA,66600,NA,90000,NA
71) WHITFIELD,41400,NA,42300,NA,21850,43200,NA,23000,44100,NA,45000,NA,28750,45900,NA,33500,NA,NA,NA,NA,54000,NA,66600,NA,NA,NA,NA,NA,46000,60000,NA,66600,NA,90000,NA
72) HUBLI ,23400,NA,24300,NA,14500,25200,NA,16250,27000,NA,27900,NA,20750,30600,NA,23000,NA,NA,NA,NA,45000,NA,45900,NA,NA,NA,NA,NA,32250,50400,NA,50400,NA,50400,NA
73) DHARWAD ,23400,NA,24300,NA,14500,25200,NA,16250,27000,NA,27900,NA,20750,30600,NA,23000,NA,NA,NA,NA,45000,NA,45900,NA,NA,NA,NA,NA,32250,50400,NA,50400,NA,50400,NA
74) BELGAUM ,23400,NA,24300,NA,12000,25200,NA,13500,27000,NA,27900,NA,16250,30600,NA,18500,NA,NA,NA,NA,45000,NA,45900,NA,NA,NA,NA,NA,26000,50400,NA,50400,NA,50400,NA
75) KAKTI,23400,NA,24300,NA,12000,25200,NA,13500,27000,NA,27900,NA,16250,30600,NA,18500,NA,NA,NA,NA,45000,NA,45900,NA,NA,NA,NA,NA,26000,50400,NA,50400,NA,50400,NA
76) SHINOLI,9000,NA,9900,NA,12000,10800,NA,13500,11700,NA,12600,NA,16250,13500,NA,18500,NA,NA,NA,NA,18900,NA,24300,NA,NA,NA,NA,NA,26000,28000,NA,33300,NA,20700,NA
77) KUNDAIM,19800,NA,20700,NA,9750,21600,19500,12000,23400,20500,25200,21500,17250,27900,22500,20750,NA,25000,NA,35000,45000,NA,45900,NA,NA,NA,NA,35000,27750,50400,NA,50400,NA,50400,NA
78) MAPUSA,19800,NA,20700,NA,9750,21600,19500,12000,23400,20500,25200,21500,17250,27900,22500,20750,NA,25000,NA,35000,45000,NA,45900,NA,NA,NA,NA,35000,27750,50400,NA,50400,NA,50400,NA
79) BICHOLIM,19800,NA,20700,NA,9750,21600,NA,12000,23400,NA,25200,NA,17250,27900,NA,20750,NA,NA,NA,NA,45000,NA,45900,NA,NA,NA,NA,NA,27750,50400,NA,50400,NA,50400,NA
